timestamp,cpu_percent,mem_used_GB,mem_total_GB,bytes_sent_MB,bytes_recv_MB
2025-06-05T13:44:37,17.5,10.361458688,16.942211072,55.59328,219.100787
2025-06-05T13:44:42,14.8,10.36320768,16.942211072,55.59328,219.100787
2025-06-05T13:44:47,18.3,10.191917056,16.942211072,55.593623,219.101245
2025-06-05T13:44:52,11.6,10.195165184,16.942211072,55.603959,219.118136
2025-06-05T13:44:57,12.5,10.192408576,16.942211072,55.604001,219.118196
2025-06-05T13:45:02,29.8,10.207735808,16.942211072,55.604152,219.118342
2025-06-05T13:45:07,35.3,10.217275392,16.942211072,55.617202,219.128649
2025-06-05T13:45:12,31.6,10.246897664,16.942211072,55.617257,219.128715
2025-06-05T14:03:56,30.0,9.804120064,16.942211072,57.950902,223.482356
2025-06-05T14:04:01,26.1,9.791168512,16.942211072,57.95116,223.482938
2025-06-05T14:04:06,12.0,9.791823872,16.942211072,57.951311,223.483084
2025-06-05T14:04:11,20.9,9.7893376,16.942211072,57.951506,223.483357
2025-06-05T14:04:16,22.0,9.786413056,16.942211072,57.951959,223.483887
2025-06-05T14:04:21,16.5,9.799053312,16.942211072,57.951959,223.483887
2025-06-05T14:06:17,38.7,9.491062784,16.942211072,58.044272,223.66983
2025-06-05T14:06:22,26.2,9.472811008,16.942211072,58.044479,223.670088
2025-06-05T14:06:27,23.8,9.461833728,16.942211072,58.044534,223.670154
2025-06-05T14:06:33,30.2,9.466990592,16.942211072,58.047099,223.676301
2025-06-05T14:06:38,18.2,9.43941632,16.942211072,58.063887,223.68277
2025-06-05T14:06:43,11.3,9.438756864,16.942211072,58.064137,223.683109
2025-06-05T14:06:48,14.1,9.434284032,16.942211072,58.064192,223.683175
2025-06-05T14:06:53,14.5,9.454567424,16.942211072,58.064357,223.683373
2025-06-05T14:06:58,12.1,9.456320512,16.942211072,58.064796,223.68397
2025-06-05T14:07:03,10.8,9.458573312,16.942211072,58.065003,223.684288
2025-06-05T14:07:08,8.3,9.48850688,16.942211072,58.065435,223.684888
2025-06-05T14:07:13,9.8,9.492742144,16.942211072,58.065921,223.68587
2025-06-05T14:12:27,45.5,9.12357376,16.942211072,58.850798,224.090135
2025-06-05T14:12:32,23.1,9.118691328,16.942211072,58.85248,224.090475
2025-06-05T14:12:37,25.6,9.1081728,16.942211072,58.852751,224.090621
2025-06-05T14:12:42,19.3,9.10620672,16.942211072,58.852751,224.090621
2025-06-05T14:12:48,11.1,9.10886912,16.942211072,58.852929,224.090881
2025-06-05T14:12:53,13.1,9.08320768,16.942211072,58.853049,224.090881
2025-06-05T14:15:46,22.5,9.102176256,16.942211072,59.331923,224.457808
2025-06-05T14:15:51,14.7,9.081663488,16.942211072,59.332318,224.458656
2025-06-05T14:15:56,21.6,9.075597312,16.942211072,59.337476,224.518792
2025-06-05T14:16:02,21.7,9.081655296,16.942211072,59.341677,224.521327
2025-06-05T14:16:07,25.1,9.08517376,16.942211072,59.341956,224.521513
2025-06-05T14:16:12,18.1,9.08918784,16.942211072,59.342285,224.521859
2025-06-05T14:16:17,19.4,9.090441216,16.942211072,59.342395,224.521991
2025-06-05T14:16:22,21.1,9.072549888,16.942211072,59.344173,224.522929
2025-06-05T14:16:27,18.5,9.07628544,16.942211072,59.354182,224.543823
2025-06-05T14:16:32,10.7,9.067659264,16.942211072,59.354664,224.544487
2025-06-05T14:16:37,10.4,9.060089856,16.942211072,59.354828,224.544613
2025-06-05T14:18:47,61.7,9.240870912,16.942211072,59.523245,224.63561
2025-06-05T14:18:52,45.8,9.23056128,16.942211072,59.553873,224.636688
2025-06-05T14:18:57,27.2,9.308672,16.942211072,59.574287,224.658015
2025-06-05T14:19:02,20.3,9.223786496,16.942211072,59.615001,224.680183
2025-06-05T14:19:07,16.9,9.155637248,16.942211072,59.651244,224.690832
2025-06-05T14:19:12,16.5,9.143681024,16.942211072,59.694953,224.697857
2025-06-05T14:19:17,21.8,9.038139392,16.942211072,59.725478,224.703713
2025-06-05T14:19:22,28.4,9.157894144,16.942211072,59.790379,224.862222
2025-06-05T14:19:28,47.9,9.309589504,16.942211072,59.855178,225.146982
2025-06-05T14:19:33,37.0,9.486942208,16.942211072,59.869098,225.194131
2025-06-05T14:19:38,51.4,9.434836992,16.942211072,59.871625,225.230146
2025-06-05T14:19:43,22.8,9.464958976,16.942211072,59.909453,225.237454
